Sophia Webster| in| signature
Alia Bhatt|release| Alia Bhatt latest film Raazi
Alia Bhatt|Closer celebrated| release of Alia Bhatt latest film Raazi
Alia Bhatt|Closer celebrated| release
Alia Bhatt|release| two pastel ethnic looks
Alia Bhatt|release| two looks
Alia Bhatt|Closer celebrated| release of Alia Bhatt film Raazi in two pastel Indian looks
Alia Bhatt|Closer celebrated| release in two pretty pastel looks
Alia Bhatt|celebrated| release of Alia Bhatt film Raazi
Alia Bhatt|celebrated| release of Alia Bhatt film Raazi in two pastel looks
Alia Bhatt|release| two pretty pastel ethnic looks
Alia Bhatt|Closer celebrated| release of Alia Bhatt latest film Raazi in two pastel looks
Alia Bhatt|Closer celebrated| release of Alia Bhatt film Raazi in two looks
Alia Bhatt|celebrated| release of Alia Bhatt latest film Raazi in two Indian looks
Alia Bhatt|celebrated| release
Alia Bhatt|Closer celebrated| release of Alia Bhatt latest film Raazi in two pastel Indian looks
Alia Bhatt|celebrated| release of Alia Bhatt film Raazi in two Indian looks
Alia Bhatt|celebrated| release of Alia Bhatt latest film Raazi in two pastel Indian looks
Alia Bhatt|celebrated| release in two pretty pastel looks
Alia Bhatt|Closer celebrated| release of Alia Bhatt latest film Raazi in two pretty pastel looks
Alia Bhatt|celebrated| release of Alia Bhatt latest film Raazi
Alia Bhatt|Closer celebrated| release of Alia Bhatt latest film Raazi in two Indian looks
Alia Bhatt|Closer celebrated| release in two looks
Alia Bhatt|celebrated| release in two pastel Indian looks
Alia Bhatt|Closer celebrated| release in two pastel looks
Alia Bhatt|release| two ethnic looks
Alia Bhatt|Closer celebrated| release of Alia Bhatt film Raazi in two pretty pastel looks
Alia Bhatt|release| two pretty pastel Indian looks
Alia Bhatt|Closer celebrated| release of Alia Bhatt film Raazi in two pastel looks
Alia Bhatt|release| two pretty pastel Indian ethnic looks
Alia Bhatt|Closer celebrated| release of Alia Bhatt latest film Raazi in two looks
Alia Bhatt|release| two pretty pastel looks
Alia Bhatt|celebrated| release of Alia Bhatt film Raazi in two pretty pastel looks
Alia Bhatt|celebrated| release of Alia Bhatt latest film Raazi in two pretty pastel looks
Alia Bhatt|Closer celebrated| release of Alia Bhatt film Raazi in two Indian looks
Alia Bhatt|celebrated| release of Alia Bhatt latest film Raazi in two pastel looks
Alia Bhatt|release| two Indian ethnic looks
dazzles Aishwarya Rai Bachchan fans| is with| breath-taking gowns
daughter Aaradhya Bachchan| is in| tow
Mumbai| is in| Aishwarya Rai Bachchan staple travel look
Aishwarya Rai Bachchan| was| spotted
Aishwarya Rai Bachchan|spotted at_time| Last night
Aishwarya Rai Bachchan|spotted| all-black separates
Aishwarya Rai Bachchan|spotted at_time| night
Aaradhya Bachchan|entered| Mumbai 's T2
dress|embroidered| pink
dress|embroidered| cheery pink
Mumbai| has| T2
Deepika Padukone|walked at_time| afternoon
Deepika Padukone|walked at_time| last afternoon
print dress|cinched| in waist with studded belt
print dress| was| cinched
print dress|cinched| in waist with belt
print dress|styled| retro pink earrings
print dress|styled| retro pink heart-shaped earrings
print dress| was| styled
print dress|styled| retro earrings
print dress|cinched| in waist
print dress|styled| retro heart-shaped earrings
Deepika Padukone|added| touch with winged smoky eye
Deepika Padukone|added| touch
Deepika Padukone|added| touch with smoky eye
touch| is with| winged smoky eye
Deepika Padukone|Keeping| look 's fun vibe
Deepika Padukone|added| touch of drama with winged eye
Deepika Padukone|added| touch of drama with winged smoky eye
Deepika Padukone|added| touch of drama with smoky eye
Deepika Padukone|added| touch with winged eye
look| has| fun vibe
Deepika Padukone|added| touch of drama with eye
Deepika Padukone|added| touch with eye
Deepika Padukone|added| touch of drama
Raazi|hit| theatres
Alia Bhatt|spread| word
Alia Bhatt|spread| word about Alia Bhatt film
Alia Bhatt|goes| route
Alia Bhatt|goes| Indian route
Raazi|hit| theatres
Alia Bhatt|goes| Raazi
Alia Bhatt|goes route| Raazi
Alia Bhatt|goes| Indian ethnic route
Alia Bhatt|spread| word about Alia Bhatt latest film
Alia Bhatt|goes| ethnic route
Bhatt| has| first kurta set
Alia Bhatt peachy pink dRzya|Dotted| delicate mirrorwork
Alia Bhatt peachy pink dRzya|Dotted| mirrorwork
BFF| for| mehandi function
star|kept| star look elegant with pretty jhumkas
star|kept| star look
star|kept| star look elegant with jhumkas
star|kept| star look elegant
fail-safe blowout|completed| makeup
fail-safe blowout|completed| star look for day
fail-safe blowout|completed| star look
fail-safe blowout|completed| minimal makeup
Kangana Ranaut|wore| Raveena Tandon
Kangana Ranaut|wore| Priyanka Chopra
new season|across| runways
former model|turned| Instagram
lessons| is in| art dressing
Prerna|'| Style File
Prerna|'s File| @prernasstylefile
Goel| has| experience
Prerna|behind| Style File
Italy| in| Lake Como
art Goel|loves| it
Prerna| has| age groupso
issue|nothing like| silk kurta
issue|nothing like| easy silk kurta
occasions| is in| heat
dreaded issue|nothing like| easy silk kurta
dreaded issue|nothing like| silk kurta
summer| is in| full swing
something| is in| our edit
Masaba| of| yellow number
style Samant Chauhan| has| embroidered white silk kurta
Pair Krishna Mehta| has| printed silk kurta with nude palazzo pants with pair of ripped denims
nude palazzo pants| is with| pair of ripped denims
Ivory| with| mint green silk kurta
family puja| is with| Ivory 's mint green silk kurta
transition|kind| few
transition|kind| very few
transition| is| kind
haircuts| are| part
haircuts|part| narrative
haircuts|often part| narrative
dodgy haircuts| are| part
haircuts| are| often part
dodgy haircuts|part| narrative
dodgy haircuts|often part| narrative
stylist|mix| indie roles
dodgy haircuts| are| often part
Miss Vogue shares| is with| you
Alia Bhatt|since| debut in Bollywood
Alia Bhatt| has| latest project
Alia Bhatt| is in| demanding role
Alia Bhatt|'s project| Raazi
Alia Bhatt| has| In past weeks has busy
Alia Bhatt|promoting| movie
Alia Bhatt| has| In past few weeks has busy
Alia Bhatt| from| upcoming role
Alia Bhatt|plays| Sehmat
Alia Bhatt| with| demure wardrobe choices
Alia Bhatt| is with| Alia Bhatt 's demure wardrobe choices
flowy anarkalis| is In| mix
Alia Bhatt|seen since| ensembles
Alia Bhatt|seen since| ethnic ensembles
Alia Bhatt|seen since| Indian ensembles
Alia Bhatt|seen| Indian ensembles
Alia Bhatt|seen| multiple Indian ensembles
Alia Bhatt|seen since| multiple ensembles
Alia Bhatt|seen since| multiple Indian ensembles
Alia Bhatt|seen| ethnic ensembles
Alia Bhatt|seen since| Indian ethnic ensembles
Alia Bhatt|seen| ensembles
Alia Bhatt|seen| multiple ensembles
Alia Bhatt| been| seen since
Alia Bhatt|seen| Indian ethnic ensembles
Alia Bhatt| for| first Raazi look
Alia Bhatt|seen since| multiple Indian ethnic ensembles
Alia Bhatt|seen| multiple Indian ethnic ensembles
Alia Bhatt|seen since| multiple ethnic ensembles
Alia Bhatt|seen| multiple ethnic ensembles
Alia Bhatt| been| seen
Alia Bhatt|kept| it
Alia Bhatt|kept| it simple with kurta Alia Bhatt 's Raw Mango numberat times
Alia Bhatt|kept| it simple with kurta Alia Bhatt 's Raw Mango numberat times
Alia Bhatt|kept| it simple with kurta setslike Alia Bhatt 's Raw Mango numberat times
Alia Bhatt|kept| it simple with kurta setslike Alia Bhatt 's Raw Mango numberat times
Alia Bhatt|kept| it simple
Alia Bhatt|kept| it simple
Alia Bhatt|kept| it
actor| was| Recently spotted
actor|spreading| word
actor| was| spotted
actor|spreading| word about actor
event| is in| Delhi
actor|took| break
looks|embrace| ease
looks|embrace| ease of denims
actor|took| break from actor
actor|stepped| frilled dress
actor|look| Zara heels
actor|stepped| Prabal Gurung
event| is in| Mumbai
actor|look| Zara peep-toe heels
actor|stepped at_time| week
actor|stepped at_time| Last week
actor|stepped| event
actor|stepped| blue frilled dress
actor|stepped| blue dress
actor|stepped| dress
actor|also chose| a blue
actor|Breaking| actor streak of kurtas
actor|chose| a blue
actor|Breaking| actor streak
actor|chose| a
actor|also chose| a
peek|best looks| Raazi promotions
peek|looks| Raazi promotions
closer peek|looks| Raazi promotions
closer peek|best looks| Raazi promotions
APH Images|Bhayani| Mumbai airport
APH Images|Bhayani| French Riviera
APH Images| has| has seen
Deepika Padukone|returned| country
Deepika Padukone|walking| Cannes red carpet
Deepika Padukone|returned| earthy ensemble
Deepika Padukone|returned| ensemble
Deepika Padukone|walking| Cannes carpet
Karisma Kapoor|kept| travel outfits
Sonam Kapoor-Ahuja|flew| sari
Sonam Kapoor-Ahuja|flew| Mumbai
Karisma Kapoor|kept| flowy travel outfits
Karisma Kapoor|kept| cool
Sonam Kapoor-Ahuja|flew| feminine sari
Karisma Kapoor|kept| Mira Rajput Kapoor
Deepika Padukone|returns| Mumbai
Deepika Padukone|seen| Mumbai
Deepika Padukone| was| seen
star|finally returned| Mumbai
Met Gala|walking Cannes carpet| slew
Met Gala|walking Cannes carpet| slew of ensembles
Met Gala|walking| slew of ensembles
Met Gala|walking| Cannes red carpet
Met Gala|walking| slew of envy-worthy ensembles
Met Gala|walking| Cannes carpet
star|attending| Met Gala
Met Gala|walking| slew
Met Gala|walking Cannes carpet| slew of envy-worthy ensembles
star|returned| Mumbai
star|looked| perfectly put together
star|looked| put together
star|looked| perfectly put
star|looked| put
actor|matching| brown sunnies
actor|matching| sunnies
Kareena Kapoor Khan|opted| Indian ethnic look
Kareena Kapoor Khan|goes| contrast to Deepika Padukone 's sleek dress
Kareena Kapoor Khan|opted| look
Kareena Kapoor Khan|opted| Indian look
Kareena Kapoor Khan|goes| stark contrast to Deepika Padukone 's dress
Kareena Kapoor Khan|goes| stark contrast
Kareena Kapoor Khan|opted| ethnic look
Kareena Kapoor Khan|goes| contrast to Deepika Padukone 's dress
Kareena Kapoor Khan|goes| contrast
Deepika Padukone| to| sleek dress
Kareena Kapoor Khan|goes| stark contrast to Deepika Padukone 's sleek dress
Kareena Kapoor Khan|goes| ivory
Manish Malhotra|partying away at_time| last week
Manish Malhotra|partying at_time| last week
Manish Malhotra|partying night at_time| last week
Manish Malhotra|partying away at_time| week
Manish Malhotra|partying night away at_time| week
Manish Malhotra|partying| night
Manish Malhotra|partying night at_time| week
Manish Malhotra|partying night away at_time| last week
Manish Malhotra|partying at_time| week
Manish Malhotra|partying away| night
actor| was| seen
actor|seen| UNICEF event
Manish Malhotra|kept| Manish Malhotra beauty look
Manish Malhotra|kept| Manish Malhotra beauty look classic with bun
Manish Malhotra|kept Manish Malhotra beauty look| occasion
Manish Malhotra|kept| Manish Malhotra beauty look classic
Manish Malhotra|kept| Manish Malhotra beauty look classic with simple bun
Gold jhumkas|completed| Manish Malhotra look
Sonam Kapoor-Ahuja| has| first post-wedding appearance
Sonam Kapoor-Ahuja| is in| summer-ready sari by Masaba
print sari|made| ideal post-wedding look summer bride
Sonam Kapoor-Ahuja|lotus| print sari made for ideal post-wedding look for summer bride
Sonam Kapoor-Ahuja|lotus| print sari made for ideal look for summer bride
print sari|made| ideal post-wedding look
print sari|made| ideal look
print sari|made| post-wedding look summer bride
Sonam Kapoor-Ahuja|lotus| print sari made for look for summer bride
print sari|made| ideal look summer bride
print sari|made| look summer bride
Sonam Kapoor-Ahuja|lotus| print sari made
Sonam Kapoor-Ahuja|lotus| print sari made for post-wedding look
print sari|made| post-wedding look
Sonam Kapoor-Ahuja|lotus| print sari
print sari|made| look
Sonam Kapoor-Ahuja|lotus| print sari made for look
Sonam Kapoor-Ahuja|lotus| print sari made for ideal look
Sonam Kapoor-Ahuja|lotus| print sari made for ideal post-wedding look
Sonam Kapoor-Ahuja|lotus| print sari made for post-wedding look for summer bride
Kangana Ranaut|weekend| Diana Penty
Kangana Ranaut|weekend| Alia Bhatt
Taimur Ali Khan Pataudi| is in| Sonam Kapoor-Ahuja favourite staplejeans
Sonam Kapoor-Ahuja| was| spotted
Sonam Kapoor-Ahuja|greeting| Kapoor-Ahuja
Diane Kruger|picked| Prada
Sonam Kapoor-Ahuja|greeting Kapoor-Ahuja| navy Alberta Ferretti gown
Sonam Kapoor-Ahuja|greeting Kapoor-Ahuja| navy blue Alberta Ferretti gown
Diane Kruger|picked| purple Prada
Diane Kruger|picked| deep Prada
Diane Kruger|picked| deep purple Prada
Aishwarya Rai Bachchan| has| loyalty towards classic black
Aishwarya Rai Bachchan| has| Time
star|stuck| palette
star|stuck| star travel home
star|flew| Cannes
star|flew| outfit
star|stuck| star travel
star|stuck| star travel back home
star|flew| all-black outfit
star|stuck| fail-safe palette
Aishwarya Rai Bachchan|matching| black travel coat
Aishwarya Rai Bachchan|matching| travel coat
star| is with| interesting black
Aishwarya Rai Bachchan| for| travels
Sonam Kapoor-Ahuja|entered Sonam Kapoor-Ahuja hotel| Mother of Pearl dress covered
Sonam Kapoor-Ahuja|entered Sonam Kapoor-Ahuja hotel| black Mother of Pearl dress covered
Sonam Kapoor-Ahuja|complemented number| white scarf
Sonam Kapoor-Ahuja|entered Sonam Kapoor-Ahuja hotel| Mother of Pearl dress covered in white polka dots
Sonam Kapoor-Ahuja|entered Sonam Kapoor-Ahuja hotel| Mother
Sonam Kapoor-Ahuja|entered Sonam Kapoor-Ahuja hotel| black Mother of Pearl dress covered in polka dots
Sonam Kapoor-Ahuja|entered| Sonam Kapoor-Ahuja hotel
Sonam Kapoor-Ahuja|entered Sonam Kapoor-Ahuja hotel| black Mother of Pearl dress covered in white polka dots
white scarf|featuring| polka dots
Sonam Kapoor-Ahuja|entered Sonam Kapoor-Ahuja hotel at_time| yesterday
Sonam Kapoor-Ahuja|complemented number| scarf
Sonam Kapoor-Ahuja|entered Sonam Kapoor-Ahuja hotel| Mother of Pearl dress covered in polka dots
Sonam Kapoor-Ahuja|entered Sonam Kapoor-Ahuja hotel| black Mother of Pearl dress
Sonam Kapoor-Ahuja|complemented| number
white scarf|featuring| black polka dots
Sonam Kapoor-Ahuja|complemented| roomy number
Sonam Kapoor-Ahuja|entered Sonam Kapoor-Ahuja hotel| black Mother
Sonam Kapoor-Ahuja|entered Sonam Kapoor-Ahuja hotel| Mother of Pearl dress
Sonam Kapoor-Ahuja|Keeping| colour combination
Sonam Kapoor-Ahuja|opted| pearl studs
Sonam Kapoor-Ahuja|Keeping| colour combination in mind
Chlo bootsall| is in| black
Sonam Kapoor-Ahuja|Keeping| classic colour combination
Sonam Kapoor-Ahuja|Keeping| classic colour combination in mind
Sonam Kapoor-Ahuja|opted along| Victoria Beckham sunglasses
Sonam Kapoor-Ahuja|intricately white lehenga| Ralph
Sonam Kapoor-Ahuja|intricately lehenga| Ralph
Sonam Kapoor-Ahuja| was| seen
Sonam Kapoor-Ahuja|embroidered lehenga| Ralph
Sonam Kapoor-Ahuja|white lehenga| Ralph
Sonam Kapoor-Ahuja|lehenga| Ralph
Sonam Kapoor-Ahuja|embroidered white lehenga| Ralph
Sonam Kapoor-Ahuja|seen| floral Delpozo dress
Sonam Kapoor-Ahuja|seen| Delpozo dress
Sonam Kapoor-Ahuja|intricately embroidered white lehenga| Ralph
Sonam Kapoor-Ahuja|intricately embroidered lehenga| Ralph
Kangana Ranaut|picked| look for Sonam Kapoor-Ahuja travels
Kangana Ranaut|picked| more formal look for Sonam Kapoor-Ahuja travels
Kangana Ranaut|looks| sharp
Kangana Ranaut|picked| more formal look
Aishwarya Rai Bachchan|caught Aishwarya Rai Bachchan flight| jeans
Aishwarya Rai Bachchan|caught Aishwarya Rai Bachchan flight| Cannes
Kangana Ranaut|picked| look for Sonam Kapoor-Ahuja latest travels
Kangana Ranaut|picked| more formal look for Sonam Kapoor-Ahuja latest travels
Kangana Ranaut|picked| formal look for Sonam Kapoor-Ahuja travels
Aishwarya Rai Bachchan|caught| Aishwarya Rai Bachchan flight
Kangana Ranaut|picked| formal look
Kangana Ranaut|picked| look
Kangana Ranaut|picked| formal look for Sonam Kapoor-Ahuja latest travels
Kangana Ranaut|looks| Mumbai airport
Aishwarya Rai Bachchan|caught Aishwarya Rai Bachchan flight| roomy jeans
Sonam Kapoor-Ahuja|returned at_time| Yesterday
Sonam Kapoor-Ahuja|returned| Mumbai
Kangana Ranaut|adding| pristine white Gucci sneakers
Kangana Ranaut|adding Gucci sneakers| Kangana Ranaut look
Kangana Ranaut|adding| Gucci sneakers
Kangana Ranaut|adding| white Gucci sneakers
Kangana Ranaut|adding| pristine Gucci sneakers
Kangana Ranaut|picked fun sling| Kangana Ranaut flight
Kangana Ranaut|picked| fun sling
Kangana Ranaut|picked| fun metallic sling
Winnie Harlow| has| latest outfits
people|obsessing| it
Anand Ahuja| has| wedding celebrations
Ranveer Singh|busting| serious moves
Ranveer Singh|busting| moves
Ranveer Singh|busting| moves on dance floor
Ranveer Singh|busting| serious moves on dance floor
Kapoor-Ahuja| has| style icon status
Kapoor-Ahuja| to| penchant for unexpected sartorial choices
newly-married actor|wore| bespoke lehenga
newly-married actor|Staying| true to Kapoor-Ahuja 's penchant for unexpected choices
Kapoor-Ahuja| for| ceremony
actor|skipped| usual suspects
newly-married actor|wore bespoke lehenga| textile revivalist Anuradha Vakil
actor|skipped| suspects
newly-married actor|Staying| true to Kapoor-Ahuja 's penchant
newly-married actor|Staying| true to Kapoor-Ahuja 's penchant for choices
newly-married actor|wore bespoke lehenga| textile Anuradha Vakil
actor|wore bespoke lehenga| textile Anuradha Vakil
actor|Staying| true to Kapoor-Ahuja 's penchant for unexpected choices
newly-married actor|Staying| true to Kapoor-Ahuja 's penchant for sartorial choices
newly-married actor|Staying| true
actor|wore bespoke lehenga| textile revivalist Anuradha Vakil
newly-married actor|skipped| suspects
newly-married actor|wore bespoke lehenga| Kapoor-Ahuja 's ceremony
actor|wore| bespoke lehenga
actor|Staying| true to Kapoor-Ahuja 's penchant
newly-married actor|Staying| true to Kapoor-Ahuja 's penchant for unexpected sartorial choices
actor|Staying| true to Kapoor-Ahuja 's penchant for sartorial choices
actor|Staying| true to Kapoor-Ahuja 's penchant for unexpected sartorial choices
actor|wore bespoke lehenga| Kapoor-Ahuja 's ceremony
actor|Staying| true to Kapoor-Ahuja 's penchant for choices
actor|Staying| true
newly-married actor|skipped| usual suspects
reclusive designer| is in| exclusive conversation
Vakil| has| refined design vocabulary
Sonam Kapoor-Ahuja| on| wedding lehenga
young girl| did| Even finally did engaged
Sonam|order| girl outfit
young girl| did| did engaged
Sonam|order| Even girl outfit
girl| did| finally did engaged
young girl| did| finally did engaged
Sonam|order| young girl outfit
Sonam|order| Even young girl outfit
girl| did| Even finally did engaged
young girl| did| Even did engaged
girl| did| Even did engaged
girl| did| did engaged
actor| had| utmost clarity
actor| had| clarity
Vakil|renowned| for Even girl inimitable use of colours
Vakil| is| renowned
Vakil|renowned| for Even girl inimitable use
Kapoor-Ahuja| was| keen
Vakil|renowned| for Even young girl inimitable use
Vakil|renowned| for young girl use of colours
Vakil|renowned| for Even girl use of colours
Vakil|renowned| for girl use
Kapoor-Ahuja|wear| bridal
Vakil|renowned| for young girl use
Vakil|renowned| for girl use of colours
Vakil|renowned| for Even girl use
Vakil|renowned| for Even young girl use
Vakil|renowned| for girl inimitable use of colours
Vakil|renowned| for young girl inimitable use
Vakil|renowned| for Even young girl use of colours
Vakil|renowned| for Even young girl inimitable use of colours
Vakil|renowned| for girl inimitable use
Vakil|renowned| for young girl inimitable use of colours
Vakil|create| bridal ensemble
actor| has| lehenga
Vakil|usually takes| 12-16 months
Vakil|takes| 12-16 months
Vakil|create| ensemble
Madhya Pradesh|using| gold
Madhya Pradesh|using| special gold
actor| for| lehenga
handwoven textile| was| developed
handwoven textile|developed| Madhya Pradesh
handwoven textile|developed| Maheshwar
embroidery|using| kalabattu technique with real gold
piece|centred around| stylised lotus motif
piece| was| centred
kalabattu technique| is with| real gold
embroidery|using| kalabattu technique
embroidery| was| created
entire piece| was| centred
entire piece|centred around| stylised lotus motif
embroidery|using| kalabattu technique with gold
piece|centred around| lotus motif
entire piece|centred around| lotus motif
outfit| was| assembled
outfit|assembled| Vakil 's atelier in Ahmedabad
outfit|assembled| Vakil 's atelier
Vakil| at| atelier in Ahmedabad
absolute joy|creating meI wedding lehenga| meI
joy|creating meI wedding lehenga| meI
meI|adore| Sonam
absolute joy|creating| meI wedding lehenga
joy|creating| meI wedding lehenga
meI relationship| is with| Sonam Kapoor-Ahuja Vakil
Sonam Kapoor-Ahuja Vakil|shared| appreciation
Sonam Kapoor-Ahuja Vakil|appreciation| design
Sonam Kapoor-Ahuja Vakil|shared| Kapoor-Ahuja
Sonam Kapoor-Ahuja Vakil|shared| appreciation for design
Sonam Kapoor-Ahuja Vakil|appreciation| Kapoor-Ahuja
Sonam Kapoor-Ahuja Vakil|appreciation| exquisite design
Sonam Kapoor-Ahuja Vakil|shared| appreciation for exquisite design
Sonam| is| very confident
Sonam| is| confident
sense|walk| that
Sonam Kapoor-Ahuja| On| trousseau Vakil
sharara|worn| actor
sharara|worn| Sonam at-home mehandi
Vakil| of| contributions to Sonam trousseau
soft grey|made| peach outfit
soft grey|using| antique textile
Vakil| from| personal collection
soft grey|enhanced| peach outfit
actor| to| mother
grey|using| textile from Vakil 's collection
grey|using| upcycled textile from Vakil 's collection
soft grey|using| upcycled textile from Vakil 's personal collection
grey|enhanced| peach outfit
soft grey|using| antique textile from Vakil 's personal collection
soft grey|using| upcycled textile
grey|using| peach outfit
grey|using| upcycled textile from Vakil 's personal collection
grey|made| peach outfit
soft grey|using| peach outfit
soft grey|using| upcycled antique textile from Vakil 's collection
actor|'s mother| Sunita Kapoor
soft grey|using| upcycled textile from Vakil 's collection
grey|using| upcycled antique textile from Vakil 's collection
grey|using| upcycled textile
soft grey|using| upcycled antique textile
grey|using| antique textile
grey|using| antique textile from Vakil 's personal collection
grey|using| textile from Vakil 's personal collection
soft grey|using| textile
grey| was| made
soft grey|using| textile from Vakil 's personal collection
grey|using| upcycled antique textile from Vakil 's personal collection
grey|using| textile
soft grey|using| upcycled antique textile from Vakil 's personal collection
soft grey|using| textile from Vakil 's collection
soft grey|using| antique textile from Vakil 's collection
grey|using| upcycled antique textile
grey|using| antique textile from Vakil 's collection
soft grey| was| made
Kapoor-Ahuja| has| something new made out something old
country|attend| Cannes Film Festival
Bollywood Misses|leaving| country
Kapoor-Ahuja| at| wedding
aviator glasses|definitely made| look
aviator glasses|definitely made| Just look
aviator glasses|definitely made| Just like Sonam Kapoor Ahujas wedding ensemble look
aviator glasses|made| look
aviator glasses|made| Just look
aviator glasses|made| Just like Sonam Kapoor Ahujas wedding ensemble look
look| is with| Gucci handbag
Karisma| was| photographed
Karisma|photographed| Payal Khandwala
her|rounded Balenciaga bag| look with lip
look| is with| striking red lip
her|rounded Balenciaga bag| look
her|rounded Balenciaga bag| look with red lip
her|rounded| Balenciaga bag
her|rounded Balenciaga bag| look with striking lip
her|rounded Balenciaga bag| look with striking red lip
her| did| good
straw hat|bury head| brights
straw hat|bury head| tassel earrings
straw hat|bury| your head
whites| is with| upcoming peak vacation season
straw hat|bury head| sunny brights
time| is| summer whites
shoulder dusters|inspired| birds
Getty| is with| heels
red carpets| be| may known for red carpets
red carpets| be| may known for carpets of Cannes fashions
red carpets| be| may known for red carpets of Cannes outlandish fashions
red carpets| be| may known for carpets of Cannes outlandish fashions
red carpets| be| may known for carpets
red carpets| be| may known for red carpets of Cannes fashions
red carpets| be| may known
series|Arriving| premiere of Spike Lee 's Blackkklansman in Chanel Couture Kristen Stewart
series|Arriving| premiere of Spike Lee 's Blackkklansman
series|Arriving| premiere of Spike Lee 's Blackkklansman in silver Chanel Couture Kristen Stewart
series|Arriving| premiere
innovative minidress|meshed| right down to simple heels
Kristen Stewart| with| personal style
innovative minidress|meshed| right down to black heels
innovative minidress|meshed| right down to heels
innovative minidress|meshed| right down to simple black heels
innovative minidress|meshed| right
innovative minidress|meshed right| Kristen Stewart 's personal style
innovative minidress|meshed right| Kristen Stewart 's style
Kristen Stewart| has| stilettos
shoes|looked| pictures
festival|amidst| fantasy
Getty Nowhere| are| heels more politicised
Getty Nowhere| are| heels more politicised than at Cannes
Getty Nowhere| are| heels politicised
Getty Nowhere| are| heels politicised than at Cannes
Getty Nowhere| are| heels
Angelina Jolie|deals| multi-hyphenate
Angelina Jolie|deals| superlatives
Angelina Jolie|deals| successful multi-hyphenate
Angelina Jolie|deals| multi-hyphenate
Angelina Jolie|deals| successful multi-hyphenate
Angelina Jolie|deals| superlatives
Jolie| has| path to top
her|making| rounds from age
her|making| rounds of auditions from age
her|making| rounds of auditions
her|strike gold| 1995
her|making| rounds of auditions from age of 16
her|strike| gold
her|strike gold| Hackers
her|making| rounds
her|making| rounds from age of 16
others|among Girl| Interrupted
her|taking| her distinct brand of sexy sophistication
look|oh-so-irresistibleall| her arsenal
her|taking| her brand of sexy sophistication
her|taking| her brand
look|oh-so-irresistibleall| monochrome wardrobe
her|taking| her brand of sophistication
her|taking| her distinct brand of sophistication
look|oh-so-irresistibleall| wardrobe
her|taking| her distinct brand
Starry beginnings| is With| legendary Jon Voight
dad| on| arm
Jolie| has| first tryst with red carpet
her|made| her way
all-lace number| is with| dramatic shoulders
her|began| Girl
her|lithe figure| perfection
her|began| Interrupted
her|figure| perfection
her|taking| carpet
her|taking| red carpet
number| is with| wrist drapes
key|making| monotone fun
key|opting| palette of colours
her| in| red carpet outings over past decade
key|opting| diverse palette of colours
key|opting| diverse palette
key|opting| palette
constanthead-to-toe colour|mandate| frequent thigh-high slit
colour|mandate| thigh-high slit
colour|mandate| slit
constanthead-to-toe colour|mandate| thigh-high slit
colour|mandate| frequent thigh-high slit
colour|mandate| bombshell eyes
colour|mandate| frequent slit
constanthead-to-toe colour|mandate| bombshell eyes
constanthead-to-toe colour|mandate| slit
constanthead-to-toe colour|mandate| frequent slit
frequent thigh-high slit|become| her signature
slit|become| her signature
Academy Awards| is in| 2012
BAFTAs| is in| 2014
her|lent| her
her|regularly indulge| her flair
her|indulge| her flair for dramaticas visible
her|keeping alive| her commitment to normcore chic
her|keeping| her commitment
her| is| known
her| is| also known
her|keeping alive| her commitment
her|regularly indulge| her flair for dramaticas
her|indulge| her flair
her|keeping| her commitment to normcore chic
her| can| can found
her|indulge| her flair for dramaticas
her|regularly indulge| her flair for dramaticas visible
Sonam Kapoor-Ahuja|make| statement
Sonam Kapoor-Ahuja|make| statement with Sonam Kapoor-Ahuja public appearances
Sonam Kapoor-Ahuja|make| statement with Sonam Kapoor-Ahuja appearances
statement| is with| Sonam Kapoor-Ahuja public appearances
Sonam Kapoor-Ahuja|back| action on Cannes 2018 red carpet
Sonam Kapoor-Ahuja|already back| action
Sonam Kapoor-Ahuja|back| action on Cannes 2018 carpet
Sonam Kapoor-Ahuja| is| already back
Sonam Kapoor-Ahuja| is| back
Sonam Kapoor-Ahuja|already back| action on Cannes 2018 red carpet
Sonam Kapoor-Ahuja|back| action
Sonam Kapoor-Ahuja|already back| action on Cannes 2018 carpet
Kapoor-Ahuja|made| Kapoor-Ahuja carpet debut
Kapoor-Ahuja|made| Kapoor-Ahuja red carpet debut
Kapoor-Ahuja|made Kapoor-Ahuja carpet debut| longtime champion of couture label Ralph
Kapoor-Ahuja|made Kapoor-Ahuja carpet debut| champion
Kapoor-Ahuja|made Kapoor-Ahuja carpet debut| custom look
Kapoor-Ahuja|made Kapoor-Ahuja carpet debut| longtime champion
Kapoor-Ahuja|made Kapoor-Ahuja carpet debut| champion of London-based couture label Ralph
Kapoor-Ahuja|made Kapoor-Ahuja carpet debut| longtime champion of London-based couture label Ralph
Kapoor-Ahuja|made Kapoor-Ahuja carpet debut| champion of couture label Ralph
Kapoor-Ahuja|made Kapoor-Ahuja carpet debut| custom look by couture house
crop top| is with| three quarter sleeves
hand embroidery|created| 43,000 pieces
hand embroidery|created| 43,000 pieces of Swarovski crystals
hand embroidery| was| created
Kapoor| has| bridal makeup
lengthy eyelashes|lip| Amrapali
Vogue|spoke| director
Vogue|spoke| Tamara Ralph
Vogue|spoke| Sonam Kapoor-Ahuja 's style
Vogue|spoke| creative director
Sonam Kapoor-Ahuja| about| style
